,ParcelId,OwnerName,Address,City,State,Zip
110,003-00-00-005-000,CURRENT RESIDENT,TRAYLOR NO 1,Fairfield,SC,
111,003-00-00-007-000,CURRENT RESIDENT,COOL BRANCH ROAD,Fairfield,SC,
112,002-00-00-019-000,CURRENT RESIDENT,11665 99 ROAD,Fairfield,SC,
113,012-00-00-010-000,CURRENT RESIDENT,3224 COOL BRANCH ROAD,Fairfield,SC,
114,012-00-00-009-000,CURRENT RESIDENT,4000FT E INT HWY 215 & S-20-50,Fairfield,SC,
115,002-00-00-029-000,CURRENT RESIDENT,EAST OF SC-215,Fairfield,SC,
116,002-00-00-020-000,CURRENT RESIDENT,ROAD 99,Fairfield,SC,
117,002-00-00-021-000,CURRENT RESIDENT,306 STEVENSON RD,Fairfield,SC,
118,002-00-00-025-000,CURRENT RESIDENT,1400FT N INT S-20-150 & SC 215 W,Fairfield,SC,
119,002-00-00-033-000,CURRENT RESIDENT,OFF SC-215,Fairfield,SC,
120,002-00-00-013-000,CURRENT RESIDENT,200FT N OF FAULKNER RD & SC 215,Fairfield,SC,
121,002-00-00-035-000,CURRENT RESIDENT,LOT F LONA MAE BOULWARE TAYLOR PART,Fairfield,SC,
122,002-00-00-032-000,CURRENT RESIDENT,LOT D LONA MAE BOULWARE TAYLOR PART,Fairfield,SC,
123,002-00-00-034-000,CURRENT RESIDENT,STATE HWY 215 NORTH,Fairfield,SC,
124,002-00-00-042-000,CURRENT RESIDENT,LOT E,Fairfield,SC,
125,002-00-00-048-000,CURRENT RESIDENT,120 BLUE MOON DR,Fairfield,SC,
126,002-00-00-046-000,CURRENT RESIDENT,SC 215 EAST SIDE,Fairfield,SC,
127,002-00-00-049-000,CURRENT RESIDENT,151 BLUE MOON DR,Fairfield,SC,
128,002-00-00-055-000,CURRENT RESIDENT,395 STEVENSON ROAD,Fairfield,SC,
129,002-00-00-030-000,CURRENT RESIDENT,92 STONEY TRAIL,Fairfield,SC,
130,004-00-00-001-000,CURRENT RESIDENT,COOL BRANCH RD RD,Fairfield,SC,
131,004-00-00-016-000,CURRENT RESIDENT,435 PRESTON RD,Fairfield,SC,
132,004-00-00-008-000,CURRENT RESIDENT,8380 ASHFORD FERRY RD,Fairfield,SC,
133,004-00-00-017-000,CURRENT RESIDENT,8077 ASHFORD FERRY ROAD,Fairfield,SC,
134,004-00-00-019-000,CURRENT RESIDENT,8035 ASHFORD FERRY ROAD,Fairfield,SC,
135,004-00-00-020-000,CURRENT RESIDENT,72 PRESTON RD,Fairfield,SC,
136,004-00-00-022-000,CURRENT RESIDENT,7970 ASHFORD FERRY RD,Fairfield,SC,
137,004-00-00-009-000,CURRENT RESIDENT,ALONG E SIDE HWY 18 N&S INT HWYS 18,Fairfield,SC,
138,004-00-00-003-000,CURRENT RESIDENT,W SIDE HWY 18 AT COUNTY LINE,Fairfield,SC,
139,004-00-00-012-000,CURRENT RESIDENT,S INT HWYS 18 & 50,Fairfield,SC,
140,004-00-00-018-000,CURRENT RESIDENT,8061 ASHFORD FERRY ROAD,Fairfield,SC,
141,004-00-00-010-000,CURRENT RESIDENT,199 CROSBY`S PLACE LANE,Fairfield,SC,
142,004-00-00-021-000,CURRENT RESIDENT,2 PRESTON RD,Fairfield,SC,
143,003-00-00-002-000,CURRENT RESIDENT,GUTHRIE TRACT-PART OF,Fairfield,SC,
144,004-00-00-006-000,CURRENT RESIDENT,EASTERN PORTION OF SAM DOUGLAS JR T,Fairfield,SC,
145,005-00-00-001-000,CURRENT RESIDENT,S CNTY LINE,Fairfield,SC,
146,005-00-00-003-000,CURRENT RESIDENT,MAGGIE HARRIS RD RD,Fairfield,SC,
147,005-00-00-008-000,CURRENT RESIDENT,OFF MAGGIE HARRIS RD CHESTER CO,Fairfield,SC,
148,005-00-00-009-000,CURRENT RESIDENT,OFF MAGGIE HARRIS RD CHESTER CO,Fairfield,SC,
149,005-00-00-010-000,CURRENT RESIDENT,E & W N & S INT HWY 100 & CNTY LIN,Fairfield,SC,
150,005-00-00-011-000,CURRENT RESIDENT,800FT N INT S-20-100 & COUNTY L,Fairfield,SC,
151,004-00-00-007-000,CURRENT RESIDENT,S INT HWY 100 & CNTY LINE,Fairfield,SC,
152,005-00-00-002-000,CURRENT RESIDENT,1900FT S INT CNTY LINE & S-20-100,Fairfield,SC,
153,005-00-00-006-000,CURRENT RESIDENT,2075 MAGGIE HARRIS ROAD,Fairfield,SC,
154,005-00-00-014-000,CURRENT RESIDENT,SE HWY 100 1200FT S CNTY LINE W HWY,Fairfield,SC,
155,005-00-00-004-000,CURRENT RESIDENT,200FT N RD S-20-100 & S-20-90,Fairfield,SC,
156,005-00-00-005-000,CURRENT RESIDENT,1919 MAGGIE HARRIS RD RD,Fairfield,SC,
157,004-00-00-005-000,CURRENT RESIDENT,WESTERN PORTION OF SAM DOUGLAS JR T,Fairfield,SC,
158,005-00-00-012-000,CURRENT RESIDENT,6600FT W S-20-100 & S-20-22,Fairfield,SC,
159,006-00-00-002-000,CURRENT RESIDENT,672 BANKS WEIR ROAD,Fairfield,SC,
161,006-00-00-011-000,CURRENT RESIDENT,OLD DOUGLASS RD,Fairfield,SC,
162,006-00-00-013-000,CURRENT RESIDENT,200FT S S-20-100 & S-20-22,Fairfield,SC,
163,006-00-00-012-000,CURRENT RESIDENT,JL DOUGLAS TRACT,Fairfield,SC,
164,007-00-00-001-000,CURRENT RESIDENT,CHESTER/FAIRFIELD COUNTY LINES,Fairfield,SC,
165,007-00-00-002-000,CURRENT RESIDENT,G 408 PART OF MILLS TRACT GM414,Fairfield,SC,
166,006-00-00-009-000,CURRENT RESIDENT,1800FT S S-20-100 & S-20-22,Fairfield,SC,
167,006-00-00-007-000,CURRENT RESIDENT,615 BANKS WEIR RD RD,Fairfield,SC,
168,006-00-00-006-000,CURRENT RESIDENT,673 BANKS WEIR ROAD,Fairfield,SC,
169,006-00-00-008-000,CURRENT RESIDENT,12759 OLD DOUGLASS ROAD,Fairfield,SC,
170,006-00-00-004-000,CURRENT RESIDENT,BANKS WEIR ROAD,Fairfield,SC,
171,006-00-00-005-000,CURRENT RESIDENT,BANKS WEIR RD RD,Fairfield,SC,
172,016-00-00-014-000,CURRENT RESIDENT,E OF OLD DOUGLASS RD RD,Fairfield,SC,
173,006-00-00-010-000,CURRENT RESIDENT,558 BANKS WEIR RD RD,Fairfield,SC,
174,006-00-00-014-000,CURRENT RESIDENT,114 BANKS WEIR RD RD,Fairfield,SC,
175,007-00-00-004-000,CURRENT RESIDENT,4100FT W S-20-214 & CHESTER CO,Fairfield,SC,
176,007-00-00-011-000,CURRENT RESIDENT,189 BARNACLE LANE,Fairfield,SC,
177,008-00-00-001-000,CURRENT RESIDENT,EVA OWENS TRACT,Fairfield,SC,
178,017-00-00-007-000,CURRENT RESIDENT,583 SCOOTER DR,Fairfield,SC,
179,007-00-00-010-000,CURRENT RESIDENT,2200` W S-20-214 & CHESTER CO LINE,Fairfield,SC,
180,007-00-00-008-000,CURRENT RESIDENT,350`SW INT S-20-214 & DIRT RD S CNT,Fairfield,SC,
181,007-00-00-009-000,CURRENT RESIDENT,2100FT W OF S-20-214 CHESTER CO,Fairfield,SC,
182,007-00-00-013-000,CURRENT RESIDENT,SCOOTER DRIVE,Fairfield,SC,
183,008-00-00-002-000,CURRENT RESIDENT,TWO CREEK ROAD,Fairfield,SC,
184,008-00-00-004-000,CURRENT RESIDENT,E & W HWY 321 CNTY LINE,Fairfield,SC,
185,019-00-00-001-000,CURRENT RESIDENT,800FT S CNTY LINE TO EAST,Fairfield,SC,
186,019-00-00-035-000,CURRENT RESIDENT,COUNTRYSIDE DR DR,WS-Wateree,SC,
187,008-00-00-003-000,CURRENT RESIDENT,US HWY 321 NORTH,Fairfield,SC,
188,018-00-00-009-000,CURRENT RESIDENT,6700FT N INT S-20-214 1700FT NW,Fairfield,SC,
189,019-00-00-005-000,CURRENT RESIDENT,1628 OVERLOOK ROAD,Fairfield,SC,
190,009-00-02-012-000,CURRENT RESIDENT,13 CIRCLE DR,Fairfield,SC,
191,009-00-02-010-000,CURRENT RESIDENT,18 CIRCLE DRIVE LOT 1,Fairfield,SC,
192,009-00-02-011-000,CURRENT RESIDENT,32 CIRCLE DRIVE,Fairfield,SC,
193,009-00-02-013-000,CURRENT RESIDENT,48 CIRCLE DR LOT 3,Fairfield,SC,
194,009-00-02-014-000,CURRENT RESIDENT,60 CIRCLE DR LOT 4,Fairfield,SC,
195,009-00-02-015-000,CURRENT RESIDENT,62 CIRCLE DR,Fairfield,SC,
196,009-00-02-016-000,CURRENT RESIDENT,70 CIRCLE DRIVE LOT 6,Fairfield,SC,
197,009-00-02-017-000,CURRENT RESIDENT,78 CIRCLE DRIVE,Fairfield,SC,
198,009-00-02-018-000,CURRENT RESIDENT,240 ASHFORD RD LOT 8,Fairfield,SC,
199,009-00-02-009-000,CURRENT RESIDENT,227 ASHFORD RD,Fairfield,SC,
200,019-00-00-008-000,CURRENT RESIDENT,PERIWINKLE LANE,Fairfield,SC,
201,019-00-00-013-000,CURRENT RESIDENT,COUNTRYSIDE DRIVE,Fairfield,SC,
202,019-00-00-010-000,CURRENT RESIDENT,COUNTRYSIDE DRIVE,Fairfield,SC,
203,019-00-00-009-000,CURRENT RESIDENT,81 PERIWINKLE LANE,Fairfield,SC,
204,009-00-01-002-000,CURRENT RESIDENT,CNTY LINE 1250FT W HWY 130,Fairfield,SC,
205,009-00-01-003-000,CURRENT RESIDENT,SCHOOL RD,Fairfield,SC,
206,009-00-01-005-000,CURRENT RESIDENT,271 SCHOOL RD,Fairfield,SC,
207,009-00-01-007-000,CURRENT RESIDENT,50 SCHOOL RD,Fairfield,SC,
208,009-00-01-010-000,CURRENT RESIDENT,1931 BLACKSTOCK RD,Fairfield,SC,
209,009-00-01-009-000,CURRENT RESIDENT,1947 BLACKSTOCK RD,Fairfield,SC,
210,009-00-01-008-000,CURRENT RESIDENT,326 SCHOOL RD,Fairfield,SC,
211,009-00-01-014-000,CURRENT RESIDENT,55 SCHOOL RD,Fairfield,SC,
212,009-00-01-013-000,CURRENT RESIDENT,77 SCHOOL RD,Fairfield,SC,
213,009-00-01-012-000,CURRENT RESIDENT,157 SCHOOL RD,Fairfield,SC,
214,009-00-01-015-000,CURRENT RESIDENT,1896 BLACKSTOCK RD BLACKSTOCK SHELL,Fairfield,SC,
215,009-00-02-003-000,CURRENT RESIDENT,1928 OVERLOOK RD,Fairfield,SC,
216,009-00-02-004-000,CURRENT RESIDENT,1906 OVERLOOK RD,Fairfield,SC,
217,009-00-02-007-000,CURRENT RESIDENT,700FT S CNTY LINE E SIDE HWY 32,Fairfield,SC,
218,009-00-02-008-000,CURRENT RESIDENT,OVERLOOK RD,Fairfield,SC,
219,019-00-00-004-000,CURRENT RESIDENT,KEZIAH,Fairfield,SC,
220,019-00-00-003-000,CURRENT RESIDENT,1730 OVERLOOK ROAD,Fairfield,SC,
221,009-00-02-005-000,CURRENT RESIDENT,450FT S INT CNTY LINE & S-20-32 E,Fairfield,SC,
222,009-00-02-006-000,CURRENT RESIDENT,1882 OVERLOOK RD,Fairfield,SC,
223,019-00-00-002-000,CURRENT RESIDENT,OVERLOOK ROAD,Fairfield,SC,
224,019-00-00-014-000,CURRENT RESIDENT,KEZIAH CITY,Fairfield,SC,
225,009-00-02-019-000,CURRENT RESIDENT,ASHFORD RD,Fairfield,SC,
226,009-00-02-021-000,CURRENT RESIDENT,400FT S CNTY LINE RD 32 E DIRT RD,Fairfield,SC,
227,010-00-00-001-000,CURRENT RESIDENT,700FT S CNTY LINE E HWY 32 4,Fairfield,SC,
228,009-00-02-023-000,CURRENT RESIDENT,OFF COUNTRYSIDE DR DR,Fairfield,SC,
229,010-00-00-004-000,CURRENT RESIDENT,200`W OF RULL RUN RD & CHESTER CO L,Fairfield,SC,
230,010-00-00-002-000,CURRENT RESIDENT,DAWKINSVILLE RD RD,Fairfield,SC,
231,020-00-00-009-000,CURRENT RESIDENT,280 DAWKINSVILLE ROAD,Fairfield,SC,
232,020-00-00-010-000,CURRENT RESIDENT,2500FT S CNTY LINE E SIDE OF,Fairfield,SC,
233,020-00-00-011-000,CURRENT RESIDENT,COUNTRYSIDE DRIVE,Fairfield,SC,
234,009-00-02-022-000,CURRENT RESIDENT,CHESTER CNTY LINE,Fairfield,SC,
235,009-00-02-020-000,CURRENT RESIDENT,FAIRFIELD/CHESTER COUNTY LINE HWY 3,Fairfield,SC,
236,011-00-00-001-000,CURRENT RESIDENT,104 FEDERAL ROAD,Fairfield,SC,
237,012-00-00-020-000,CURRENT RESIDENT,9729 ST HWY 215 N,Fairfield,SC,
238,012-00-00-011-000,CURRENT RESIDENT,10714 STATE HWY 215-N,Fairfield,SC,
239,012-00-00-012-000,CURRENT RESIDENT,OFF ST HWY 215 N & COOL BRANCH R RD,Fairfield,SC,
240,012-00-00-018-000,CURRENT RESIDENT,10354 ST HWY #215-N,Fairfield,SC,
241,012-00-00-016-000,CURRENT RESIDENT,10468 STATE HWY 215 NORTH,Fairfield,SC,
242,012-00-00-017-000,CURRENT RESIDENT,10296 ST HWY 215 N (COLEMAN LODGE),Fairfield,SC,
243,012-00-00-022-000,CURRENT RESIDENT,1 MI S INT HWY 215/SC 50 E SIDE HWY,Fairfield,SC,
244,012-00-00-013-000,CURRENT RESIDENT,DICKERSON TRACT,Fairfield,SC,
245,012-00-00-019-000,CURRENT RESIDENT,3400FT E INT HWY 215/SC501800FT S H,Fairfield,SC,
246,013-00-00-003-000,CURRENT RESIDENT,2939 COOL BRANCH ROAD,Fairfield,SC,
247,012-00-00-021-000,CURRENT RESIDENT,9851 STATE HWY 215,Fairfield,SC,
248,013-00-00-001-000,CURRENT RESIDENT,6950FT E INT HWY 215/SC502900FT S,Fairfield,SC,
249,013-00-00-011-000,CURRENT RESIDENT,TRAYLOR NO 2-PART,Fairfield,SC,
250,013-00-00-004-000,CURRENT RESIDENT,6850FT E INT HWY 215/SC50N & S SIDE,Fairfield,SC,
251,013-00-00-006-000,CURRENT RESIDENT,COOL BRANCH RD RD,Fairfield,SC,
252,012-00-00-015-000,CURRENT RESIDENT,ST HWY 215 N,Fairfield,SC,
253,013-00-00-005-000,CURRENT RESIDENT,10000FT W INT HWY 18 & S-20-50 N,Fairfield,SC,
254,013-00-00-021-000,CURRENT RESIDENT,00FT W INT HWYS 18 & 51 2300FT N H,Fairfield,SC,
255,013-00-00-009-000,CURRENT RESIDENT,9000FT W INT HWY 18 & 50 S SIDE HWY,Fairfield,SC,
256,014-00-00-029-000,CURRENT RESIDENT,1310 DAVE JENKINS ROAD,Fairfield,SC,
257,014-00-00-030-000,CURRENT RESIDENT,1260 DAVE JENKINS RD RD,Fairfield,SC,
258,014-00-00-032-000,CURRENT RESIDENT,1078 DAVE JENKINS ROAD,Fairfield,SC,
259,014-00-00-033-000,CURRENT RESIDENT,994 DAVE JENKINS ROAD,Fairfield,SC,
260,013-00-00-010-000,CURRENT RESIDENT,N401 PT LAND ETAL,Fairfield,SC,
261,014-00-00-002-000,CURRENT RESIDENT,7000FT N INT HWY 51 & 18 W SIDE HWY,Fairfield,SC,
262,043-00-00-044-000,CURRENT RESIDENT,SW CORNER INT S-20-20 & HWY 21,Fairfield,SC,
263,043-00-00-042-000,CURRENT RESIDENT,1600FT W INT S-20-20 & HWY 21 S,Fairfield,SC,
264,043-00-00-041-000,CURRENT RESIDENT,8048 CAMP WELFARE ROAD,Fairfield,SC,
265,043-00-00-040-000,CURRENT RESIDENT,7976 CAMP WELFARE RD (MH TITLE RETIRED),Fairfield,SC,
266,042-00-00-024-000,CURRENT RESIDENT,6377 & 6421 WATEREE ROAD,WS-Wateree,SC,
267,042-00-00-028-000,CURRENT RESIDENT,S INT HWY 200 & S-20-55,Fairfield,SC,
268,043-00-00-003-000,CURRENT RESIDENT,8029 CAMP WELFARE ROAD,Fairfield,SC,
269,043-00-00-004-000,CURRENT RESIDENT,8231 CAMP WELFARE ROAD,Fairfield,SC,
270,043-00-00-006-000,CURRENT RESIDENT,15037 US HWY 21,Fairfield,SC,
271,043-00-00-007-000,CURRENT RESIDENT,15101 HWY 21,Fairfield,SC,
272,043-00-00-008-000,CURRENT RESIDENT,15173 US HWY 21 NORTH,Fairfield,SC,
273,043-00-00-011-000,CURRENT RESIDENT,15305 US HWY 21 NORTH,Fairfield,SC,
274,043-00-00-012-000,CURRENT RESIDENT,15357 US HWY 21,Fairfield,SC,
275,026-03-04-057-000,CURRENT RESIDENT,15445 US HWY 21 NORTH,Fairfield,SC,
276,026-03-04-056-000,CURRENT RESIDENT,15457 US HWY 21,Fairfield,SC,
277,026-03-04-053-000,CURRENT RESIDENT,US HWY 21,Fairfield,SC,
278,025-04-02-017-000,CURRENT RESIDENT,14964 STATE HWY 200 #3901-51,Fairfield,SC,
279,042-00-00-023-000,CURRENT RESIDENT,RAINBOW ACRES RD,Fairfield,SC,
